AAAA 07 06 00 1100BB00002D
AAAA 02 14 00 2EFFEE07EDFFFF0001FFFF000000000000000076
AAAA 02 14 00 2DFFF507E900000001000000000000000000007C
AAAA F1 12 00 000000000000000000000D00000000FFC82B
AAAA F2 12 00 000000000000000000FFE7000000000D4893
AAAA 02 14 00 30FFF907F8FFFF0000FFFF00000000000000008D
AAAA F1 12 00 000000000000000000000D00000000FFC92C
AAAA F2 12 00 000000000000000000FFE9000000000D4895
AAAA 02 14 00 32FFEF07F4000100000000000000000000000086
AAAA 01 0C FF EEFF6E002400002B8E000098
AAAA 02 14 00 30FFF807ED00000000FFFF000000000000000083
AAAA 02 14 00 33FFF407E70000FFFF000200000000000000007E
AAAA 02 14 00 31FFF407E500000000FFFE000000000000000077
AAAA F1 12 00 000000000000000000000D00000000FFCA2D
AAAA F2 12 00 000000000000000000FFED000000000D4899
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01103D4000049
AAAA 01 0C FF EDFF6E002400002B8E000097
AAAA 02 14 00 36FFFC07DEFFFC0001000000000000000000007C
AAAA 02 14 00 34FFF307E8FFFE0001FFFF00000000000000007B
AAAA F1 12 00 000000000000000000000D00000000FFCA2D
AAAA F2 12 00 000000000000000000FFEE000000000D489
AAAA A0 21 40 02FFFF307E5FFFF00000000000000000000000075
AAAA 01 0C FF EEFF6E002400002B8E000098
AAAA 02 14 00 2EFFF307EC0001FFFE000000000000000000007B
AAAA F1 12 00 000000000000000000000D00000000FFCB2E
AAAA F2 12 00 000000000000000000FFEE000000000D489A
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01103D4000049
AAAA 02 14 00 2DFFF707ED000000000002000000000000000083
AAAA 02 14 00 32FFF707EF0000FFFF0000000000000000000086
AAAA F1 12 00 000000000000000000000D00000000FFCB2E
AAAA F2 12 00 000000000000000000FFEF000000000D489B
AAAA 01 0C FF EDFF6E002400002B8E000097
AAAA 02 14 00 2FFFF007EE00000001000000000000000000007E
AAAA 02 14 00 32FFEE07E7000000000001000000000000000078
AAAA F1 12 00 000000000000000000000D00000000FFCC2F
AAAA F2 12 00 000000000000000000FFEE000000000D489
AAAA A0 31 40 0000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110301000076
AAAA 02 14 00 34FFFB07F3FFFF00020000000000000000000092
AAAA 01 0C FF EDFF6E002400002B8C000095
AAAA 02 14 00 30FFF007EBFFFE00000001000000000000000079
AAAA F1 12 00 000000000000000000000D00000000FFCC2F
AAAA F2 12 00 000000000000000000FFEE000000000D489
AAAA A0 21 40 032FFF507E500000000000000000000000000007C
AAAA 02 14 00 2CFFF107F000000000000200000000000000007F
AAAA F1 12 00 000000000000000000000D00000000FFCD30
AAAA F2 12 00 000000000000000000FFED000000000D4899
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110301000076
AAAA 01 0C FF EDFF6E002400002B8C000095
AAAA 02 14 00 27FFF707E90000FFFF0001000000000000000076
AAAA 02 14 00 37FFF707E7000000000002000000000000000087
AAAA F1 12 00 000000000000000000000D00000000FFCD30
AAAA F2 12 00 000000000000000000FFED000000000D4899
AAAA 02 14 00 36FFF607E100000000000200000000000000007F
AAAA 01 0C FF EDFF6E002400002B8C000095
AAAA 02 14 00 29FFF607ED00000000000000000000000000007C
AAAA F1 12 00 000000000000000000000E00000000FFCE32
AAAA F2 12 00 000000000000000000FFED000000000D4899
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110301000076
AAAA 02 14 00 30FFF907F0FFFE00000000000000000000000086
AAAA 02 14 00 29FFF507F4FFFF00000002000000000000000082
AAAA F1 12 00 000000000000000000000E00000000FFCF33
AAAA F2 12 00 000000000000000000FFEF000000000D489B
AAAA 05 04 01 8A01F4DD
AAAA 01 0C FF EDFF6E002400002B9500009E
AAAA 02 14 00 37FFF207EC000000000001000000000000000086
AAAA 02 14 00 31FFF507F3FFFE00000000000000000000000086
AAAA F1 12 00 000000000000000000000E00000000FFCF33
AAAA F2 12 00 000000000000000000FFF1000000000D489D
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011064E0000C6
AAAA 02 14 00 35FFF107ED000000000000000000000000000083
AAAA 01 0C FF EDFF6E002400002B9500009E
AAAA 02 14 00 30FFEC07E500000000FFFE00000000000000006E
AAAA F1 12 00 000000000000000000000E00000000FFD034
AAAA F2 12 00 000000000000000000FFF3000000000D489F
AAAA 02 14 00 32FFF307DEFFFFFFFF000000000000000000006F
AAAA 02 14 00 37FFF307F2FFFF0000000000000000000000008
AAAA AF 11 20 0000000000000000000000E00000000FFD034
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011064E0000C6
AAAA 01 0C FF EDFF6E002400002B9500009E
AAAA 02 14 00 38FFEF07E700000000000000000000000000007E
AAAA 02 14 00 2CFFF107E60000FFFF0000000000000000000071
AAAA F1 12 00 000000000000000000000E00000000FFD135
AAAA F2 12 00 000000000000000000FFF5000000000D48A1
AAAA 02 14 00 2FFFF707E5FFFF0001000000000000000000007
AAAA A0 10 CF FEDFF6E002400002B9400009D
AAAA 02 14 00 32FFEE07EB0000FFFF0000000000000000000079
AAAA F1 12 00 000000FFFE00000000000E00000000FFD132
AAAA F2 12 00 000000000000000000FFF5000000000D48A1
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01105E400005B
AAAA 02 14 00 28FFF807F2000000010000000000000000000083
AAAA 02 14 00 2BFFF507E30000FFFF0000000000000000000071
AAAA F1 12 00 000000000000000000000E00000000FFD236
AAAA F2 12 00 000000000000000000FFF5000000000D48A1
AAAA 01 0C FF EDFF6E002500002B9400009E
AAAA 02 14 00 33FFF407EE00000001FFFF000000000000000084
AAAA 02 14 00 31FFEF07E800010000000100000000000000007
AAAA AF 11 20 0000000000000000000000E00000000FFD236
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01105E400005B
AAAA 02 14 00 2AFFF207EAFFFE00000001000000000000000074
AAAA 01 0C FF EDFF6E002400002B9400009D
AAAA 02 14 00 2CFFF607EB00000001000100000000000000007F
AAAA F1 12 00 000000000000000000000E00000000FFD337
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 02 14 00 37FFFA07ED00000000FFFF00000000000000008C
